SampleID	Group	Replicate
SRR12644305_filtered.fq.Aligned.sortedByCoord.out	Gba_pos_pos	Rep3
SRR12644307_filtered.fq.Aligned.sortedByCoord.out	Gba_pos_pos	Rep2
SRR12644293_filtered.fq.Aligned.sortedByCoord.out	Gba_pos_pos	Rep1
SRR12644294_filtered.fq.Aligned.sortedByCoord.out	Gba_pos_neg	Rep3
SRR12644296_filtered.fq.Aligned.sortedByCoord.out	Gba_pos_neg	Rep2
SRR12644298_filtered.fq.Aligned.sortedByCoord.out	Gba_pos_neg	Rep1
SRR12644302_filtered.fq.Aligned.sortedByCoord.out	Gba_pos_neg_Gbatg	Rep3
SRR12644304_filtered.fq.Aligned.sortedByCoord.out	Gba_pos_neg_Gbatg	Rep2
SRR12644306_filtered.fq.Aligned.sortedByCoord.out	Gba_pos_neg_Gbatg	Rep1
SRR12644308_filtered.fq.Aligned.sortedByCoord.out	Gba_neg_neg_Gbatg	Rep4
SRR12644309_filtered.fq.Aligned.sortedByCoord.out	Gba_neg_neg_Gbatg	Rep3
SRR12644310_filtered.fq.Aligned.sortedByCoord.out	Gba_neg_neg_Gbatg	Rep1
